CEMETERY|SITECODE|PERIOD|LU_INT|E_DATE|L_DATE|SITECODE|CONTEXT|SEX|AGE|TRAIT_TYPE|GROUP|EXPANSION|VALUE

Medieval-Guildhall Yard|GYE92|16|OA221|1550|1666|10181|UNDETERMINABLE|UNCLASSIFIED ADULT|Age estimate|Overall age code|Overall Age code|11|
Medieval-Guildhall Yard|GYE92|16|OA221|1550|1666|10181|UNDETERMINABLE|UNCLASSIFIED ADULT|Age estimate|Brothwell (1981)|Dental wear (Codes 1-4)|9|
Medieval-Guildhall Yard|GYE92|16|OA221|1550|1666|10181|UNDETERMINABLE|UNCLASSIFIED ADULT|Age estimate|Brooks and Suchey (1990)|Pubic symphysis Phases I-VI|9|
Medieval-Guildhall Yard|GYE92|16|OA221|1550|1666|10181|UNDETERMINABLE|UNCLASSIFIED ADULT|Age estimate|Lovejoy et al (1985)|Auricular surface Phases 1-8|9|
Medieval-Guildhall Yard|GYE92|16|OA221|1550|1666|10181|UNDETERMINABLE|UNCLASSIFIED ADULT|Age estimate|Iscan et al (1984,1985)|Costochondral Phases 0-8|9|
Medieval-Guildhall Yard|GYE92|16|OA221|1550|1666|10425|INTERMEDIATE|UNCLASSIFIED ADULT|Age estimate|Overall age code|Overall Age code|11|
Medieval-Guildhall Yard|GYE92|16|OA221|1550|1666|10425|INTERMEDIATE|UNCLASSIFIED ADULT|Age estimate|Brothwell (1981)|Dental wear (Codes 1-4)|9|
Medieval-Guildhall Yard|GYE92|16|OA221|1550|1666|10425|INTERMEDIATE|UNCLASSIFIED ADULT|Age estimate|Brooks and Suchey (1990)|Pubic symphysis Phases I-VI|9|
Medieval-Guildhall Yard|GYE92|16|OA221|1550|1666|10425|INTERMEDIATE|UNCLASSIFIED ADULT|Age estimate|Lovejoy et al (1985)|Auricular surface Phases 1-8|9|
Medieval-Guildhall Yard|GYE92|16|OA221|1550|1666|10425|INTERMEDIATE|UNCLASSIFIED ADULT|Age estimate|Iscan et al (1984,1985)|Costochondral Phases 0-8|9|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10644|UNDETERMINABLE|UNCLASSIFIED ADULT|Age estimate|Overall age code|Overall Age code|11|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10644|UNDETERMINABLE|UNCLASSIFIED ADULT|Age estimate|Brothwell (1981)|Dental wear (Codes 1-4)|9|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10644|UNDETERMINABLE|UNCLASSIFIED ADULT|Age estimate|Brooks and Suchey (1990)|Pubic symphysis Phases I-VI|9|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10644|UNDETERMINABLE|UNCLASSIFIED ADULT|Age estimate|Lovejoy et al (1985)|Auricular surface Phases 1-8|9|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10644|UNDETERMINABLE|UNCLASSIFIED ADULT|Age estimate|Iscan et al (1984,1985)|Costochondral Phases 0-8|9|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10647|UNDETERMINABLE|UNCLASSIFIED ADULT|Age estimate|Overall age code|Overall Age code|11|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10647|UNDETERMINABLE|UNCLASSIFIED ADULT|Age estimate|Brothwell (1981)|Dental wear (Codes 1-4)|9|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10647|UNDETERMINABLE|UNCLASSIFIED ADULT|Age estimate|Brooks and Suchey (1990)|Pubic symphysis Phases I-VI|9|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10647|UNDETERMINABLE|UNCLASSIFIED ADULT|Age estimate|Lovejoy et al (1985)|Auricular surface Phases 1-8|9|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10647|UNDETERMINABLE|UNCLASSIFIED ADULT|Age estimate|Iscan et al (1984,1985)|Costochondral Phases 0-8|9|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10650|FEMALE|ADULT 26-35 YEARS|Age estimate|Overall age code|Overall Age code|8|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10650|FEMALE|ADULT 26-35 YEARS|Age estimate|Brothwell (1981)|Dental wear (Codes 1-4)|1|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10650|FEMALE|ADULT 26-35 YEARS|Age estimate|Brooks and Suchey (1990)|Pubic symphysis Phases I-VI|9|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10650|FEMALE|ADULT 26-35 YEARS|Age estimate|Lovejoy et al (1985)|Auricular surface Phases 1-8|3|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10650|FEMALE|ADULT 26-35 YEARS|Age estimate|Iscan et al (1984,1985)|Costochondral Phases 0-8|9|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10652|UNSEXED CHILD|SUB-ADULT 12-17 YEARS|Age estimate|Gusafson and Koch (1974)|Dental eruption|12|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10652|UNSEXED CHILD|SUB-ADULT 12-17 YEARS|Age estimate|Overall age estimate|Overall Age (sub-adult)|12|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10652|UNSEXED CHILD|SUB-ADULT 12-17 YEARS|Age estimate|Overall age code|Overall Age code|6|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10652|UNSEXED CHILD|SUB-ADULT 12-17 YEARS|Age estimate|Maresh (1970)|Diaphysial lengths|7|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10656|FEMALE|ADULT >46 YEARS|Age estimate|Overall age code|Overall Age code|10|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10656|FEMALE|ADULT >46 YEARS|Age estimate|Brothwell (1981)|Dental wear (Codes 1-4)|2|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10656|FEMALE|ADULT >46 YEARS|Age estimate|Brooks and Suchey (1990)|Pubic symphysis Phases I-VI|5|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10656|FEMALE|ADULT >46 YEARS|Age estimate|Lovejoy et al (1985)|Auricular surface Phases 1-8|5|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10656|FEMALE|ADULT >46 YEARS|Age estimate|Iscan et al (1984,1985)|Costochondral Phases 0-8|9|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10660|UNDETERMINABLE|UNCLASSIFIED ADULT|Age estimate|Overall age code|Overall Age code|11|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10660|UNDETERMINABLE|UNCLASSIFIED ADULT|Age estimate|Brothwell (1981)|Dental wear (Codes 1-4)|9|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10660|UNDETERMINABLE|UNCLASSIFIED ADULT|Age estimate|Brooks and Suchey (1990)|Pubic symphysis Phases I-VI|9|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10660|UNDETERMINABLE|UNCLASSIFIED ADULT|Age estimate|Lovejoy et al (1985)|Auricular surface Phases 1-8|9|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10660|UNDETERMINABLE|UNCLASSIFIED ADULT|Age estimate|Iscan et al (1984,1985)|Costochondral Phases 0-8|9|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10661|UNDETERMINABLE|UNCLASSIFIED ADULT|Age estimate|Overall age code|Overall Age code|11|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10661|UNDETERMINABLE|UNCLASSIFIED ADULT|Age estimate|Brothwell (1981)|Dental wear (Codes 1-4)|9|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10661|UNDETERMINABLE|UNCLASSIFIED ADULT|Age estimate|Brooks and Suchey (1990)|Pubic symphysis Phases I-VI|9|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10661|UNDETERMINABLE|UNCLASSIFIED ADULT|Age estimate|Lovejoy et al (1985)|Auricular surface Phases 1-8|9|
