CEMETERY|SITECODE|PERIOD|LU_INT|E_DATE|L_DATE|CONTEXT|SEX|AGE|BONE_GP|BONES_PRESENT

Medieval-Guildhall Yard|GYE92|10|OA101|1050|1140|20533|UNSEXED CHILD|SUB-ADULT 1-5 YEARS|Axial|Sternum-Manubrium
Medieval-Guildhall Yard|GYE92|10|OA101|1050|1140|20533|UNSEXED CHILD|SUB-ADULT 1-5 YEARS|Axial|Ribs (Heads Only) R
Medieval-Guildhall Yard|GYE92|10|OA101|1050|1140|20533|UNSEXED CHILD|SUB-ADULT 1-5 YEARS|Axial|Ribs (Heads Only) L
Medieval-Guildhall Yard|GYE92|10|OA101|1050|1140|20533|UNSEXED CHILD|SUB-ADULT 1-5 YEARS|Axial|C2 (axis)
Medieval-Guildhall Yard|GYE92|10|OA101|1050|1140|20533|UNSEXED CHILD|SUB-ADULT 1-5 YEARS|Axial|C3
Medieval-Guildhall Yard|GYE92|10|OA101|1050|1140|20533|UNSEXED CHILD|SUB-ADULT 1-5 YEARS|Axial|C4
Medieval-Guildhall Yard|GYE92|10|OA101|1050|1140|20533|UNSEXED CHILD|SUB-ADULT 1-5 YEARS|Axial|C5
Medieval-Guildhall Yard|GYE92|10|OA101|1050|1140|20533|UNSEXED CHILD|SUB-ADULT 1-5 YEARS|Axial|C7
Medieval-Guildhall Yard|GYE92|10|OA101|1050|1140|20533|UNSEXED CHILD|SUB-ADULT 1-5 YEARS|Axial|T3
Medieval-Guildhall Yard|GYE92|10|OA101|1050|1140|20533|UNSEXED CHILD|SUB-ADULT 1-5 YEARS|Axial|T5
Medieval-Guildhall Yard|GYE92|10|OA101|1050|1140|20533|UNSEXED CHILD|SUB-ADULT 1-5 YEARS|Axial|T6
Medieval-Guildhall Yard|GYE92|10|OA101|1050|1140|20533|UNSEXED CHILD|SUB-ADULT 1-5 YEARS|Axial|T9
Medieval-Guildhall Yard|GYE92|10|OA101|1050|1140|20533|UNSEXED CHILD|SUB-ADULT 1-5 YEARS|Axial|T11
Medieval-Guildhall Yard|GYE92|10|OA101|1050|1140|20533|UNSEXED CHILD|SUB-ADULT 1-5 YEARS|Axial|L1
Medieval-Guildhall Yard|GYE92|10|OA101|1050|1140|20533|UNSEXED CHILD|SUB-ADULT 1-5 YEARS|Axial|L2
Medieval-Guildhall Yard|GYE92|10|OA101|1050|1140|20533|UNSEXED CHILD|SUB-ADULT 1-5 YEARS|Axial|L3
Medieval-Guildhall Yard|GYE92|10|OA101|1050|1140|20533|UNSEXED CHILD|SUB-ADULT 1-5 YEARS|Axial|L4
Medieval-Guildhall Yard|GYE92|10|OA101|1050|1140|20533|UNSEXED CHILD|SUB-ADULT 1-5 YEARS|Axial|L5
Medieval-Guildhall Yard|GYE92|10|OA101|1050|1140|20533|UNSEXED CHILD|SUB-ADULT 1-5 YEARS|Axial|S1
Medieval-Guildhall Yard|GYE92|10|OA101|1050|1140|20538|MALE|ADULT 26-35 YEARS|Axial|Sternum-Manubrium
