CEMETERY|SITECODE|PERIOD|LU_INT|E_DATE|L_DATE|CONTEXT|SEX|AGE|X_RAY|PHOTO|BONE_PRESERVATION|TRUNCATED|SUB_SAMPLED|PBR|BIOGRAPHIC_DATA|BURIAL_TYPE|COMMENTS

Medieval-Guildhall Yard|GYE92|16|OA221|1550|1666|10181|UNDETERMINABLE|UNCLASSIFIED ADULT|||GOOD||||||
Medieval-Guildhall Yard|GYE92|16|OA221|1550|1666|10425|INTERMEDIATE|UNCLASSIFIED ADULT|||GOOD||||||
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10644|UNDETERMINABLE|UNCLASSIFIED ADULT|||GOOD||||||
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10647|UNDETERMINABLE|UNCLASSIFIED ADULT|||GOOD||||||
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10650|FEMALE|ADULT 26-35 YEARS|||GOOD||||||UNSIDED MALLEUS IS PRESENT
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10652|UNSEXED CHILD|SUB-ADULT 12-17 YEARS|||GOOD||||||
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10656|FEMALE|ADULT >46 YEARS|||GOOD||||||
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10660|UNDETERMINABLE|UNCLASSIFIED ADULT|||GOOD||||||
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10661|UNDETERMINABLE|UNCLASSIFIED ADULT|||GOOD||||||
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10666|UNDETERMINABLE|UNCLASSIFIED ADULT|||GOOD||||||
Medieval-Guildhall Yard|GYE92|13|OA219|1270|1350|10682|MALE?|ADULT 18-25 YEARS|||GOOD||||||
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10688|INTERMEDIATE|ADULT 26-35 YEARS|||GOOD||||||
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10689|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|||GOOD||||||
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10690|MALE|ADULT 18-25 YEARS|||GOOD||||||EPIPHYSEAL FUSION PLACES AGE AT DEATH AT APPROX 20.
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10695|FEMALE?|ADULT 36-45 YEARS|||GOOD||||||
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10696|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|||GOOD||||||
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10699|UNSEXED CHILD|SUB-ADULT 12-17 YEARS|||GOOD||||||
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10705|FEMALE|ADULT 26-35 YEARS|||GOOD||||||
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10723|MALE?|ADULT 36-45 YEARS|||GOOD||||||
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10724|UNSEXED CHILD|SUB-ADULT 12-17 YEARS|||GOOD||||||
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10731|FEMALE|ADULT >46 YEARS|||GOOD||||||
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10734|MALE|ADULT 36-45 YEARS|||GOOD||||||A VERY ROBUST MALE WITH PRONOUNCED MUSCLE ATTACHMENTS PARTICULARLY ON THE FEMORA AND TIBIAE.  THE COSTAL NOTCHES OF THE MANUBRIUM ARE LIPPED AND IRREGULAR DUE TO OSSIFICATION OF THE COSTAL CARTILAGE.
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10739|MALE?|ADULT 36-45 YEARS|||GOOD||||||
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10756|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|||GOOD||||||
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10770|UNSEXED CHILD|SUB-ADULT 1-5 YEARS|||GOOD||||||
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10774|MALE|ADULT 36-45 YEARS|||GOOD||||||
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10786|FEMALE|ADULT 36-45 YEARS|||GOOD||||||
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10792|MALE|ADULT 26-35 YEARS|||GOOD||||||
Medieval-Guildhall Yard|GYE92|11|OA132|1140|1230|10856|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|||GOOD||||||UNSIDED MALLEUS PRESENT.
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10862|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|||GOOD||||||
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10890|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|||GOOD||||||
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10891|MALE?|ADULT 18-25 YEARS|||GOOD||||||EPIPHYSEAL FUSION PLACES AGE AT DEATH IN THE EARLY 20S.
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10894|FEMALE|ADULT 26-35 YEARS|||GOOD||||||
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10912|FEMALE|ADULT 18-25 YEARS|||GOOD||||||
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10915|MALE?|ADULT 36-45 YEARS|||GOOD||||||
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10932|UNDETERMINABLE|UNCLASSIFIED ADULT|||GOOD||||||
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10947|UNDETERMINABLE|UNCLASSIFIED ADULT|||GOOD||||||
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10957|MALE?|ADULT 26-35 YEARS|||GOOD||||||
Medieval-Guildhall Yard|GYE92|10|OA127|1050|1140|11692|MALE?|UNCLASSIFIED ADULT|||GOOD||||||
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|13017|FEMALE|ADULT 18-25 YEARS|||GOOD||||||
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|13042|UNSEXED CHILD|SUB-ADULT 12-17 YEARS|||GOOD||||||
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|13056|MALE|ADULT 18-25 YEARS|||GOOD||||||
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|13110|UNSEXED CHILD|SUB-ADULT 1-5 YEARS|||GOOD||||||
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|13209|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|||GOOD||||||
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|13281|UNDETERMINABLE|ADULT 36-45 YEARS|||GOOD||||||
Medieval-Guildhall Yard|GYE92|11|OA132|1140|1230|13287|FEMALE?|ADULT >46 YEARS|||GOOD||||||
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|13316|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|||GOOD||||||
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|13366|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|||GOOD||||||
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|13367|FEMALE|ADULT 26-35 YEARS|||GOOD||||||UNSIDED INCUS PRESENT.
Medieval-Guildhall Yard|GYE92|10|OA108|1050|1140|17166|MALE|ADULT >46 YEARS|||GOOD||||||ODD 'S' SHAPED CURVATURE TO THE STERNAL BODY AND XIPHOID PROCESS.
Medieval-Guildhall Yard|GYE92|10|OA102|1050|1140|20065|MALE|ADULT 26-35 YEARS|||GOOD||||||
Medieval-Guildhall Yard|GYE92|10|OA102|1050|1140|20105|MALE|ADULT 36-45 YEARS|||GOOD||||||
Medieval-Guildhall Yard|GYE92|10|OA102|1050|1140|20109|FEMALE|ADULT 26-35 YEARS|||GOOD||||||
Medieval-Guildhall Yard|GYE92|10|OA102|1050|1140|20113|FEMALE?|ADULT >46 YEARS|||GOOD||||||
Medieval-Guildhall Yard|GYE92|10|OA102|1050|1140|20117|UNSEXED CHILD|SUB-ADULT 7-11 MONTHS|||GOOD||||||AGE AT DEATH IS APPROX. 9 MONTHS BASED ON DENTAL DEVELOPMENT.
Medieval-Guildhall Yard|GYE92|10|OA102|1050|1140|20277|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|||GOOD||||||DEVELOPMENT OF THE THIRD MOLARS AND COMPLETE ERRUPTION OF ALL OTHER TEETH INDICATES THAT THE AGE IS SOMEWHERE BETWEEN 10 AND 11.  NO TEETH ARE LOOSE FOR A MORE DETAILED ANALYSIS.
Medieval-Guildhall Yard|GYE92|10|OA101|1050|1140|20533|UNSEXED CHILD|SUB-ADULT 1-5 YEARS|||GOOD||||||
Medieval-Guildhall Yard|GYE92|10|OA101|1050|1140|20538|MALE|ADULT 26-35 YEARS|||GOOD||||||THE RIGHT INCUS IS PRESENT.
Medieval-Guildhall Yard|GYE92|10|OA101|1050|1140|20543|MALE|ADULT 18-25 YEARS|||GOOD||||||EPIPHYSEAL FUSION SUGGESTS AGE AT DEATH WAS APPROXIMATELY 20.
IT APPEARS AS THOUGH THERE WAS DECIDOUS RETENTION OF THE CANINES WHICH WERE LOST ANTEMORTEM.

Medieval-Guildhall Yard|GYE92|10|OA101|1050|1140|20554|UNDETERMINABLE|UNCLASSIFIED ADULT|||GOOD||||||
Medieval-Guildhall Yard|GYE92|10|OA101|1050|1140|20574|FEMALE?|ADULT >46 YEARS|||GOOD||||||
Medieval-Guildhall Yard|GYE92|10|OA102|1050|1140|20578|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|||GOOD||||||
Medieval-Guildhall Yard|GYE92|10|OA102|1050|1140|20582|UNDETERMINABLE|UNCLASSIFIED ADULT|||GOOD||||||
Medieval-Guildhall Yard|GYE92|10|OA102|1050|1140|20586|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|||GOOD||||||
Medieval-Guildhall Yard|GYE92|10|OA102|1050|1140|20588|MALE|ADULT 36-45 YEARS|||GOOD||||||VERY ROBUST MALE.  VERY STRONG MUSCLE ATTACHMENTS PARTICULARLY ON THE RADIUS.
Medieval-Guildhall Yard|GYE92|10|OA102|1050|1140|20590|UNDETERMINABLE|UNCLASSIFIED ADULT|||GOOD||||||
Medieval-Guildhall Yard|GYE92|10|OA102|1050|1140|20619|UNSEXED CHILD|SUB-ADULT 1-5 YEARS|||GOOD||||||
Medieval-Guildhall Yard|GYE92|10|OA102|1050|1140|20623|FEMALE?|ADULT 36-45 YEARS|||GOOD||||||
