CEMETERY|SITECODE|PERIOD|LU_INT|E_DATE|L_DATE|SITECODE|CONTEXT|SEX|AGE|TRAIT_TYPE|GROUP|EXPANSION|VALUE

Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10652|UNSEXED CHILD|SUB-ADULT 12-17 YEARS|Bone measurement|Ilium|Ilium Gsn Diameter R|11.8|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10652|UNSEXED CHILD|SUB-ADULT 12-17 YEARS|Bone measurement|Ilium|Ilium Gsn Diameter L|12|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10652|UNSEXED CHILD|SUB-ADULT 12-17 YEARS|Bone measurement|Humerus|Humeral Length R|211|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10652|UNSEXED CHILD|SUB-ADULT 12-17 YEARS|Bone measurement|Humerus|Humeral Length L|209|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10652|UNSEXED CHILD|SUB-ADULT 12-17 YEARS|Bone measurement|Ilium|Ilium Gsn Width L|26.9|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10652|UNSEXED CHILD|SUB-ADULT 12-17 YEARS|Bone measurement|Humerus|Humeral Width R|45.2|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10652|UNSEXED CHILD|SUB-ADULT 12-17 YEARS|Bone measurement|Humerus|Humeral Width L|44.4|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10652|UNSEXED CHILD|SUB-ADULT 12-17 YEARS|Bone measurement|Radius|Radial Length R|160|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10652|UNSEXED CHILD|SUB-ADULT 12-17 YEARS|Bone measurement|Ulna|Ulna Length L|174|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10652|UNSEXED CHILD|SUB-ADULT 12-17 YEARS|Bone measurement|Femur|Femoral Length R|291|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10652|UNSEXED CHILD|SUB-ADULT 12-17 YEARS|Bone measurement|Femur|Femoral Length L|292|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10652|UNSEXED CHILD|SUB-ADULT 12-17 YEARS|Bone measurement|Femur|Femoral Width R|62.9|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10652|UNSEXED CHILD|SUB-ADULT 12-17 YEARS|Bone measurement|Femur|Femoral Width L|61.1|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10652|UNSEXED CHILD|SUB-ADULT 12-17 YEARS|Bone measurement|Tibia|Tibial Length R|238|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10652|UNSEXED CHILD|SUB-ADULT 12-17 YEARS|Bone measurement|Tibia|Tibial Length L|236|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10652|UNSEXED CHILD|SUB-ADULT 12-17 YEARS|Bone measurement|Fibia|Fibular Length R|233|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10652|UNSEXED CHILD|SUB-ADULT 12-17 YEARS|Bone measurement|Clavicle|Clavicle Length R|99.9|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10652|UNSEXED CHILD|SUB-ADULT 12-17 YEARS|Bone measurement|Clavicle|Clavicle Length L|100.7|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10652|UNSEXED CHILD|SUB-ADULT 12-17 YEARS|Bone measurement|Ilium|Ilium Max Length R|101.9|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10652|UNSEXED CHILD|SUB-ADULT 12-17 YEARS|Bone measurement|Ilium|Ilium Max Length L|102.3|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10652|UNSEXED CHILD|SUB-ADULT 12-17 YEARS|Bone measurement|Ilium|Ilium Max Width R|117.1|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10652|UNSEXED CHILD|SUB-ADULT 12-17 YEARS|Bone measurement|Ilium|Ilium Max Width L|114.8|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10652|UNSEXED CHILD|SUB-ADULT 12-17 YEARS|Bone measurement|Ilium|Ilium Gsn Width R|26.4|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10689|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Humerus|Humeral Length R|223|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10689|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Humerus|Humeral Length L|226|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10689|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Humerus|Humeral Width L|40.7|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10689|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Radius|Radial Length R|163|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10689|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Ulna|Ulna Length R|179|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10689|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Femur|Femoral Length L|308|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10689|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Tibia|Tibial Length L|244|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10696|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Tibia|Tibial Length R|243|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10696|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Tibia|Tibial Length L|240|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10699|UNSEXED CHILD|SUB-ADULT 12-17 YEARS|Bone measurement|Ilium|Ilium Gsn Diameter R|11.2|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10699|UNSEXED CHILD|SUB-ADULT 12-17 YEARS|Bone measurement|Ilium|Ilium Gsn Diameter L|11.6|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10699|UNSEXED CHILD|SUB-ADULT 12-17 YEARS|Bone measurement|Humerus|Humeral Length R|265|
