CEMETERY|SITECODE|PERIOD|LU_INT|E_DATE|L_DATE|CONTEXT|SEX|AGE|PATH_GROUP|DISEASE|PATHOLOGY|COMMENTS|PBR

Medieval-Guildhall Yard|GYE92|16|OA221|1550|1666|10181|UNDETERMINABLE|UNCLASSIFIED ADULT|Other|Blood Disorders|Cribra orbitalia left|9 (Unobservable)|
Medieval-Guildhall Yard|GYE92|16|OA221|1550|1666|10181|UNDETERMINABLE|UNCLASSIFIED ADULT|Other|Blood Disorders|Cribra orbitalia right|9 (Unobservable)|
Medieval-Guildhall Yard|GYE92|16|OA221|1550|1666|10425|INTERMEDIATE|UNCLASSIFIED ADULT|Other|Blood Disorders|Cribra orbitalia left|1 (Capillary like impressions on the bone)|
Medieval-Guildhall Yard|GYE92|16|OA221|1550|1666|10425|INTERMEDIATE|UNCLASSIFIED ADULT|Other|Blood Disorders|Cribra orbitalia right|0 (No cribra present)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10644|UNDETERMINABLE|UNCLASSIFIED ADULT|Other|Blood Disorders|Cribra orbitalia left|9 (Unobservable)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10644|UNDETERMINABLE|UNCLASSIFIED ADULT|Other|Blood Disorders|Cribra orbitalia right|9 (Unobservable)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10647|UNDETERMINABLE|UNCLASSIFIED ADULT|Other|Blood Disorders|Cribra orbitalia left|9 (Unobservable)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10647|UNDETERMINABLE|UNCLASSIFIED ADULT|Other|Blood Disorders|Cribra orbitalia right|9 (Unobservable)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10650|FEMALE|ADULT 26-35 YEARS|Other|Blood Disorders|Cribra orbitalia left|9 (Unobservable)|
