East,South,Length,Width,Segment,Location,Area,artifact,count
901.39,75.07,12,12,2,Outside,144,Points,0
901.39,75.07,12,12,2,Outside,144,Abraders,1
901.39,75.07,12,12,2,Outside,144,Discs,0
901.39,75.07,12,12,2,Outside,144,Earplugs,0
901.39,75.07,12,12,2,Outside,144,Effigies,0
901.39,75.07,12,12,2,Outside,144,Ceramics,0
901.39,75.07,12,12,2,Outside,144,total,1
973.01,81.33,16,16,2,Outside,256,Points,0
973.01,81.33,16,16,2,Outside,256,Abraders,0
973.01,81.33,16,16,2,Outside,256,Discs,0
973.01,81.33,16,16,2,Outside,256,Earplugs,0
973.01,81.33,16,16,2,Outside,256,Effigies,1
973.01,81.33,16,16,2,Outside,256,Ceramics,0
973.01,81.33,16,16,2,Outside,256,total,1
889.71,163.21,17,18,1,Inside,306,Points,1
889.71,163.21,17,18,1,Inside,306,Abraders,0
889.71,163.21,17,18,1,Inside,306,Discs,1
889.71,163.21,17,18,1,Inside,306,Earplugs,0
889.71,163.21,17,18,1,Inside,306,Effigies,1
889.71,163.21,17,18,1,Inside,306,Ceramics,1
889.71,163.21,17,18,1,Inside,306,total,4
924.16,193.1,21,21.5,1,Inside,451.5,Points,2
924.16,193.1,21,21.5,1,Inside,451.5,Abraders,1
924.16,193.1,21,21.5,1,Inside,451.5,Discs,1
924.16,193.1,21,21.5,1,Inside,451.5,Earplugs,1
924.16,193.1,21,21.5,1,Inside,451.5,Effigies,0
924.16,193.1,21,21.5,1,Inside,451.5,Ceramics,5
924.16,193.1,21,21.5,1,Inside,451.5,total,10
911.9,216.55,20.5,20,1,Inside,410,Points,3
911.9,216.55,20.5,20,1,Inside,410,Abraders,2
911.9,216.55,20.5,20,1,Inside,410,Discs,2
911.9,216.55,20.5,20,1,Inside,410,Earplugs,1
911.9,216.55,20.5,20,1,Inside,410,Effigies,0
911.9,216.55,20.5,20,1,Inside,410,Ceramics,4
911.9,216.55,20.5,20,1,Inside,410,total,12
939.73,250.75,16.5,16,1,Inside,264,Points,0
939.73,250.75,16.5,16,1,Inside,264,Abraders,0
939.73,250.75,16.5,16,1,Inside,264,Discs,0
939.73,250.75,16.5,16,1,Inside,264,Earplugs,0
939.73,250.75,16.5,16,1,Inside,264,Effigies,0
939.73,250.75,16.5,16,1,Inside,264,Ceramics,0
939.73,250.75,16.5,16,1,Inside,264,total,0
948.29,229.06,18,19,1,Inside,342,Points,5
948.29,229.06,18,19,1,Inside,342,Abraders,0
948.29,229.06,18,19,1,Inside,342,Discs,5
948.29,229.06,18,19,1,Inside,342,Earplugs,0
948.29,229.06,18,19,1,Inside,342,Effigies,0
948.29,229.06,18,19,1,Inside,342,Ceramics,4
948.29,229.06,18,19,1,Inside,342,total,14
962.5,211.67,21,19,1,Inside,399,Points,13
962.5,211.67,21,19,1,Inside,399,Abraders,0
962.5,211.67,21,19,1,Inside,399,Discs,0
962.5,211.67,21,19,1,Inside,399,Earplugs,2
962.5,211.67,21,19,1,Inside,399,Effigies,2
962.5,211.67,21,19,1,Inside,399,Ceramics,12
962.5,211.67,21,19,1,Inside,399,total,29
979.24,194.28,7.5,8,2,Outside,60,Points,0
979.24,194.28,7.5,8,2,Outside,60,Abraders,0
979.24,194.28,7.5,8,2,Outside,60,Discs,0
979.24,194.28,7.5,8,2,Outside,60,Earplugs,0
979.24,194.28,7.5,8,2,Outside,60,Effigies,0
979.24,194.28,7.5,8,2,Outside,60,Ceramics,0
979.24,194.28,7.5,8,2,Outside,60,total,0
991.69,153.24,19,15.5,2,Outside,217,Points,1
991.69,153.24,19,15.5,2,Outside,217,Abraders,0
991.69,153.24,19,15.5,2,Outside,217,Discs,0
991.69,153.24,19,15.5,2,Outside,217,Earplugs,0
991.69,153.24,19,15.5,2,Outside,217,Effigies,1
991.69,153.24,19,15.5,2,Outside,217,Ceramics,0
991.69,153.24,19,15.5,2,Outside,217,total,2
982.35,175.13,17.5,17,2,Outside,297.5,Points,2
982.35,175.13,17.5,17,2,Outside,297.5,Abraders,0
982.35,175.13,17.5,17,2,Outside,297.5,Discs,1
982.35,175.13,17.5,17,2,Outside,297.5,Earplugs,0
982.35,175.13,17.5,17,2,Outside,297.5,Effigies,0
982.35,175.13,17.5,17,2,Outside,297.5,Ceramics,0
982.35,175.13,17.5,17,2,Outside,297.5,total,3
989.16,250.17,13,10.5,3,Outside,136.5,Points,0
989.16,250.17,13,10.5,3,Outside,136.5,Abraders,0
989.16,250.17,13,10.5,3,Outside,136.5,Discs,0
989.16,250.17,13,10.5,3,Outside,136.5,Earplugs,0
989.16,250.17,13,10.5,3,Outside,136.5,Effigies,0
989.16,250.17,13,10.5,3,Outside,136.5,Ceramics,0
